情報伝送及び処理,無線通信において、1つのアンテナで送信と受信を交互に切り替える方式は？,時分割多重 (TDD),時間を細かく区切って使い分けます。,波長分割多重,空間分割多重,コード分割多重
情報伝送及び処理,無線LANの規格として世界的に広く使われている名称は？,Wi-Fi,IEEE 802.11 シリーズに基づいています。,Bluetooth,Ethernet,LTE
情報伝送及び処理,複数のコンピュータを繋ぎ、処理能力を向上させたり信頼性を高めたりするシステムを何というか？,分散システム,1台が壊れても全体が止まらないように構成できます。,単独システム,クローズドシステム,アナログシステム
情報伝送及び処理,特定の範囲の周波数だけを通し、ノイズ成分を除去する回路を何というか？,フィルタ（バンドパスフィルタなど）,必要な信号だけを取り出すために不可欠です。,アンプ,整流器,インバータ
情報伝送及び処理,電子メールを送信する際に使われるプロトコルは？,SMTP,Simple Mail Transfer Protocol の略です。,POP3,HTTP,IMAP
情報伝送及び処理,電源を切ると内容が消えてしまうメモリの種類は？,RAM,作業用の揮発性メモリです。,ROM,フラッシュメモリ,磁気ディスク
情報伝送及び処理,通信ネットワークにおいて、データの行き先を決める「住所」に相当するものは？,IP アドレス,IPv4（32bit）や IPv6（128bit）があります。,URL,メールアドレス,パスワード
情報伝送及び処理,大量のデータを整理して保存し 検索しやすくする仕組みは？,データベース,SQL などの言語で操作します。,フォルダツリー,テキストファイル,CSVファイル
情報伝送及び処理,大量のデータを整理・蓄積し、効率よく検索・利用できるようにした仕組みを何というか？,データベース (DB),SQLなどの言語を使ってデータを操作します。,ファイルシステム,フォルダ,バックアップ
情報伝送及び処理,人間が書いたプログラムを 一括して機械語に直すソフトは？,コンパイラ,実行速度が速くなります。,インタプリタ,テキストエディタ,リンカー
情報伝送及び処理,情報を効率よく送るために、データの冗長性を除いてサイズを小さくすることを何というか？,圧縮,ZIP形式やJPEG形式などがこれに当たります。,拡大,暗号化,サンプリング
情報伝送及び処理,情報を遠くまで送るために、信号を別の波（搬送波）に乗せる操作を何というか？,変調,振幅変調(AM)、周波数変調(AF)、位相変調(PM)などがあります。,復調,符号化,スクランブル
情報伝送及び処理,情報を暗号化する際、誰にでも公開して良い方の「鍵」を何というか？,公開鍵,公開鍵暗号方式で用いられ、安全な通信を可能にします。,共通鍵,秘密鍵,マスターキー
情報伝送及び処理,情報の波を搬送波に乗せる操作を何というか？,変調,AM や FM などがあります。,復調,増幅,サンプリング
情報伝送及び処理,情報の最小単位（0 または 1）を何というか？,ビット,2進数 1 桁分です。,バイト,ワード,パケット
情報伝送及び処理,情報の機密性・完全性・可用性を守ることを何というか？,情報セキュリティ,CIA の 3 要素と呼ばります。,暗号化強度,アクセスコントロール,データ冗長化
情報伝送及び処理,情報の「情報量」を測る単位として、選択肢が2つの場合の不確かさを 1 とする単位は？,シャノン（またはビット）,情報理論の基礎となる概念です。,ヘルツ,デシベル,ジュール
情報伝送及び処理,情報の「完全性（Integrity）」とは何を維持することを指すか？,データが改ざんされず、正確で最新であること,情報セキュリティの3要素(CIA)の一つです。,誰にも見られないこと,いつでも使えること,コピーできること
情報伝送及び処理,受信した変調波から、元の情報を抽出する操作を何というか？,復調（デモジュレーション）,モデム（MODEM）の名称の由来でもあります。,増幅,サンプリング,量子化
